ACCESSION	UNIPROT_NAME	GID	GENE_NAME	SUBMITTED_PROTEIN_NAME	RECOMMENDED_PTN_NAME
Q88II7	Q88II7_PSEPK	PP_3012		Uncharacterized protein	
Q88IR8	Q88IR8_PSEPK	PP_2931			YheO domain-containing protein
Q88IS7	Q88IS7_PSEPK	PP_2922		Urea amidolyase-related protein	
Q88IX5	Q88IX5_PSEPK	PP_2874		Uncharacterized protein	
Q88J22	Q88J22_PSEPK	PP_2827		Alcohol dehydrogenase, zinc-containing	
Q88J63	Q88J63_PSEPK	PP_2786			Outer membrane lipoprotein-sorting protein
Q88JD6	Q88JD6_PSEPK	PP_2713		DNA-binding response regulator	
Q88JU9	Q88JU9_PSEPK	PP_2548		Sugar MFS transporter	
Q88JV0	Q88JV0_PSEPK	PP_2547		Transcriptional regulator, LysR family	
Q88JZ9	Q88JZ9_PSEPK	PP_2494			Hydrolase or metal-binding protein
Q88KH1	Q88KH1_PSEPK	PP_2319		Uncharacterized protein	
Q88KM7	Q88KM7_PSEPK	PP_2263		Sugar ABC transporter, permease protein	
Q88KX7	Q88KX7_PSEPK	PP_2162		Phosphonoacetaldehyde phosphonohydrolase-related protein	
Q88LF6	SYE_PSEPK	PP_1977	gltX		Glutamate--tRNA ligase
Q88LI5	Q88LI5_PSEPK	PP_1947			Leucyl aminopeptidase
Q88LI7	FOLD1_PSEPK	PP_1945	folD1		Bifunctional protein FolD 1
Q88LJ0	Q88LJ0_PSEPK	PP_1942		Transcriptional regulator, LysR family	
Q88LQ3	Q88LQ3_PSEPK	PP_1876		ATP/GTP-binding protein of the AAA+ family	
Q88LY5	Q88LY5_PSEPK	PP_1791		Aldolase/synthase	
Q88MJ6	Q88MJ6_PSEPK	PP_1575			Phage tail protein
Q88MT1	Q88MT1_PSEPK	PP_1487			Tellurite resistance TerB family protein
Q88MX9	Q88MX9_PSEPK	PP_1439		Uncharacterized protein	
Q88N02	Q88N02_PSEPK	PP_1416		Tricarboxylate transport protein TctA	
Q88N19	Q88N19_PSEPK	PP_1397		Uncharacterized protein	
Q88N79	MRAY_PSEPK	PP_1334	mraY		Phospho-N-acetylmuramoyl-pentapeptide-transferase
Q88N95	Q88N95_PSEPK	PP_1317	petA		Ubiquinol-cytochrome c reductase iron-sulfur subunit
Q88NC8	ALGE_PSEPK	PP_1284	algE		Alginate production protein AlgE
Q88NE0	Q88NE0_PSEPK	PP_1272		Multidrug efflux MFS membrane fusion protein	
Q88NE3	Q88NE3_PSEPK	PP_1269		Universal stress protein family	
Q88NH9	Q88NH9_PSEPK	PP_1230			DUF945 domain-containing protein
Q88NL9	DCTA_PSEPK	PP_1188	dctA		C4-dicarboxylate transport protein
Q88NV9	Q88NV9_PSEPK	PP_1095	rnfD		Ion-translocating oxidoreductase complex subunit D
Q88P43	Q88P43_PSEPK	PP_1010	edd		Phosphogluconate dehydratase
Q88P61	Y992_PSEPK	PP_0992			UPF0276 protein PP_0992
Q88P93	Q88P93_PSEPK	PP_0959	mlaE		Intermembrane phospholipid transport system permease protein MlaE
Q88PP0	HMP_PSEPK	PP_0808	hmp		Flavohemoprotein
Q88PY1	Q88PY1_PSEPK	PP_0717			DUF2955 domain-containing protein
Q88Q39	Q88Q39_PSEPK	PP_0659	metB	Cystathionine gamma-synthase	
Q88Q66	YACG_PSEPK	PP_0630	yacG		DNA gyrase inhibitor YacG
Q88QB2	Q88QB2_PSEPK	PP_0582		Thiolase family protein	
Q88QE9	Q88QE9_PSEPK	PP_0545	aldB-I	Aldehyde dehydrogenase	
Q88QR2	Q88QR2_PSEPK	PP_0426			DUF2157 domain-containing protein
Q88R87	Q88R87_PSEPK	PP_0246	ompR	Two-component system DNA-binding response transcriptional dual regulator	
Q88RJ5	Q88RJ5_PSEPK	PP_0134			BON domain-containing protein
Q88RK7	Q88RK7_PSEPK	PP_0122			DUF2782 domain-containing protein
Q88RM0	Q88RM0_PSEPK	PP_0109			Cytochrome B
Q88RM9	Q88RM9_PSEPK	PP_0100	cynT		Carbonic anhydrase
Q88RN3	Q88RN3_PSEPK	PP_0096	prlC		oligopeptidase A
Q88RN8	Q88RN8_PSEPK	PP_0091		Lipoprotein	
Q88RV0	Q88RV0_PSEPK	PP_0029	czcR-I	Two component heavy metal response regulator	
Q88RW3	Q88RW3_PSEPK	PP_0016			TniQ family protein
A0A140FWD5	A0A140FWD5_PSEPK	PP_5587			DUF560 domain-containing protein
A0A140FWD8	A0A140FWD8_PSEPK	PP_5590			DUF1329 domain-containing protein
A0A140FWN5	A0A140FWN5_PSEPK	PP_5683		Uncharacterized protein	
A0A140FWQ1	A0A140FWQ1_PSEPK	PP_5699		Iron uptake protein	
P59285	ALLA_PSEPK	PP_4288	allA		Ureidoglycolate lyase
P59364	YCIB_PSEPK	PP_4501	yciB		Inner membrane-spanning protein YciB
Q88BZ1	Q88BZ1_PSEPK	PP_5392			Beta-propeller fold lactonase family protein
Q88C16	Q88C16_PSEPK	PP_5367		Transketolase domain protein	
Q88C55	Q88C55_PSEPK	PP_5328		Phosphate transport system permease protein	
Q88C63	Q88C63_PSEPK	PP_5320	phoB		Phosphate regulon transcriptional regulatory protein PhoB
Q88CV8	Q88CV8_PSEPK	PP_5072	ynfM	Efflux transporter	
Q88D36	Q88D36_PSEPK	PP_4992	pilG	Protein PilG	
Q88D44	Q88D44_PSEPK	PP_4984	bioA		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
Q88D86	Q88D86_PSEPK	PP_4941			N-acetylglucosaminylphosphatidylinositol deacetylase
Q88D95	Q88D95_PSEPK	PP_4932		D-arabinose 1-dehydrogenase	
Q88D97	Q88D97_PSEPK	PP_4930	emrE	Small multidrug resistance protein	
Q88DB6	Q88DB6_PSEPK	PP_4911			ABC-type transport auxiliary lipoprotein component domain-containing protein
Q88DG9	Q88DG9_PSEPK	PP_4856			Bacterioferritin
Q88DH2	Q88DH2_PSEPK	PP_4853		Permease of the drug/metabolite transporter (DMT) superfamily	
Q88DL1	Q88DL1_PSEPK	PP_4814		ATP-dependent protease La domain protein	
Q88DZ3	MSRQ_PSEPK	PP_4675	msrQ		Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
Q88E97	Q88E97_PSEPK	PP_4569		Uncharacterized protein	
Q88EB6	Q88EB6_PSEPK	PP_4550	fadD-II	Long-chain-fatty-acid/CoA ligase	
Q88EE4	Q88EE4_PSEPK	PP_4521		Aerotaxis receptor	
Q88EP1	Q88EP1_PSEPK	PP_4413			Secreted protein
Q88EX2	Q88EX2_PSEPK	PP_4330		Toxin-related protein	
Q88EY6	Q88EY6_PSEPK	PP_4314			CENP-V/GFA domain-containing protein
Q88F03	Q88F03_PSEPK	PP_4297	gcl	Glyoxylate carboligase	
Q88F23	Q88F23_PSEPK	PP_4276	smc		Chromosome partition protein Smc
Q88FB8	Q88FB8_PSEPK	PP_4180	yigI		Thioesterase domain-containing protein
Q88FG7	Q88FG7_PSEPK	PP_4129	nuoL	NADH:ubiquinone oxidoreductase, membrane subunit L	
Q88G32	Q88G32_PSEPK	PP_3894		Phage replication protein O	
Q88G49	Q88G49_PSEPK	PP_3877			Phage major capsid protein
Q88G96	Q88G96_PSEPK	PP_3829	modB		Molybdenum transport system permease
Q88GC8	Q88GC8_PSEPK	PP_3796	pvdA	L-ornithine 5-monooxygenase	
Q88GG2	Q88GG2_PSEPK	PP_3762		Response regulator	
Q88GJ3	Q88GJ3_PSEPK	PP_3729		Periplasmic amino acid-binding protein-related protein	
Q88H11	Q88H11_PSEPK	PP_3554		Acyl-CoA dehydrogenase family protein	
Q88H38	Q88H38_PSEPK	PP_3527		Transcriptional regulator, TetR family	
Q88H49	Q88H49_PSEPK	PP_3516		Transcriptional regulator, AraC family	
Q88H90	Q88H90_PSEPK	PP_3471			RHS repeat-associated core domain-containing protein
Q88HD0	Q88HD0_PSEPK	PP_3430			histidine kinase
Q88HN4	Q88HN4_PSEPK	PP_3319		Sensory box protein/GGDEF domain protein	
Q88HV5	Q88HV5_PSEPK	PP_3248		Dyp-type peroxidase family protein	
Q88HY7	Q88HY7_PSEPK	PP_3216		Cysteine dioxygenase	
Q88I92	Q88I92_PSEPK	PP_3107			DUF1795 domain-containing protein
Q88II1	Q88II1_PSEPK	PP_3018			Lipoprotein
Q88IJ7	Q88IJ7_PSEPK	PP_3002	aroE		Shikimate dehydrogenase (NADP(+))
Q88IJ8	Q88IJ8_PSEPK	PP_3001		CAIB/BAIF family protein	
Q88J53	Q88J53_PSEPK	PP_2796			DUF485 domain-containing protein
Q88JA1	Q88JA1_PSEPK	PP_2748		Branched-chain amino acid ABC transporter, ATP-binding protein	
Q88JB7	Q88JB7_PSEPK	PP_2732			Cryptochrome/photolyase family protein
Q88JK7	Q88JK7_PSEPK	PP_2642		Transcriptional regulator, GntR family	
Q88JM1	Q88JM1_PSEPK	PP_2628		Uncharacterized ABC transporter ATP-binding protein HI_1051	
Q88JS6	Q88JS6_PSEPK	PP_2572		Uncharacterized protein	
Q88JW7	Q88JW7_PSEPK	PP_2530		Uncharacterized protein	
Q88JX9	GALC_PSEPK	PP_2514	galC		4-carboxy-4-hydroxy-2-oxoadipic acid aldolase
Q88JY8	Q88JY8_PSEPK	PP_2505		GAF domain/GGDEF domain protein	
Q88JY9	Q88JY9_PSEPK	PP_2504			2-hydroxymuconate tautomerase
Q88K47	Q88K47_PSEPK	PP_2445			TerC family protein
Q88K97	Q88K97_PSEPK	PP_2394			RING-type E3 ubiquitin transferase
Q88KG1	Q88KG1_PSEPK	PP_2329	pabB		aminodeoxychorismate synthase
Q88KK5	Q88KK5_PSEPK	PP_2285			Phage protein
Q88KS0	Q88KS0_PSEPK	PP_2220		C4-type zinc finger protein, DksA/TraR family	
Q88KW5	Q88KW5_PSEPK	PP_2174			CENP-V/GFA domain-containing protein
Q88KX3	Q88KX3_PSEPK	PP_2166		Anti-anti-sigma factor	
Q88L47	Q88L47_PSEPK	PP_2088		RNA polymerase sigma factor SigX	
Q88LP4	Q88LP4_PSEPK	PP_1885		Uncharacterized protein	
Q88LR1	Q88LR1_PSEPK	PP_1868	deaD		ATP-dependent RNA helicase DeaD
Q88LX0	KDSA2_PSEPK	PP_1807	kdsA2		2-dehydro-3-deoxyphosphooctonate aldolase 2
Q88M57	Q88M57_PSEPK	PP_1717		Uncharacterized protein	
Q88MB8	Q88MB8_PSEPK	PP_1656	relA	ATP:GTP 3'-pyrophosphotransferase	
Q88MD8	Q88MD8_PSEPK	PP_1635		DNA-binding response regulator	
Q88MJ5	Q88MJ5_PSEPK	PP_1576		Immunity protein	
Q88MK1	Q88MK1_PSEPK	PP_1570		Head-tail adaptor	
Q88MQ6	Q88MQ6_PSEPK	PP_1514			RHS repeat-associated core domain-containing protein
Q88MR1	Q88MR1_PSEPK	PP_1509			DUF72 domain-containing protein
Q88N14	Q88N14_PSEPK	PP_1402	dctB		histidine kinase
Q88ND6	Q88ND6_PSEPK	PP_1276		Uncharacterized protein	
Q88NI3	QUEC_PSEPK	PP_1226	queC		7-cyano-7-deazaguanine synthase
Q88NK1	Q88NK1_PSEPK	PP_1206	oprD	Basic-amino-acid specific porin OprD	
Q88NU5	Q88NU5_PSEPK	PP_1109		Transcriptional regulator, GntR family	
Q88NX1	Q88NX1_PSEPK	PP_1082	bfr-II		Bacterioferritin
Q88PB9	GATA_PSEPK	PP_0931	gatA		Glutamyl-tRNA(Gln) amidotransferase subunit A
Q88PD7	Q88PD7_PSEPK	PP_0913			Imelysin-like domain-containing protein
Q88PJ7	ISPG_PSEPK	PP_0853	ispG		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
Q88PQ0	Q88PQ0_PSEPK	PP_0798		GGDEF domain protein	
Q88PX1	Q88PX1_PSEPK	PP_0727		Uncharacterized protein	
Q88Q27	GLYA2_PSEPK	PP_0671	glyA2		Serine hydroxymethyltransferase 2
Q88Q42	Q88Q42_PSEPK	PP_0656		Amino acid ABC transporter, permease protein	
Q88Q49	Q88Q49_PSEPK	PP_0649		MutT/nudix family protein	
Q88Q63	Q88Q63_PSEPK	PP_0633	pilC	Type 4 fimbrial assembly protein PilC	
Q88QS7	Q88QS7_PSEPK	PP_0411	potA		Spermidine/putrescine import ATP-binding protein PotA
Q88R00	Q88R00_PSEPK	PP_0334		Transposase	
Q88RG5	Q88RG5_PSEPK	PP_0165		GGDEF domain protein	
Q88RH1	Q88RH1_PSEPK	PP_0159		CoA-transferase family III	
Q88RK5	ENGB_PSEPK	PP_0124	engB		Probable GTP-binding protein EngB
Q88RM2	Q88RM2_PSEPK	PP_0107			SURF1-like protein
Q88RS8	Q88RS8_PSEPK	PP_0051		Sigma-54 dependent transcriptional regulator	
Q88RT5	Q88RT5_PSEPK	PP_0044	czcB-I	Cobalt-zinc-cadmium resistance protein	
A0A140FW85	A0A140FW85_PSEPK	PP_5531			DUF1993 domain-containing protein
A0A140FWC3	A0A140FWC3_PSEPK	PP_5572		Uncharacterized protein	
A0A140FWD1	A0A140FWD1_PSEPK	PP_5582			Phosphotriesterase
A0A140FWI7	A0A140FWI7_PSEPK	PP_5634		Uncharacterized protein	
A0A140FWK7	A0A140FWK7_PSEPK	PP_5658		Uncharacterized protein	
Q88C64	Q88C64_PSEPK	PP_5319			Lipoprotein
Q88C71	Q88C71_PSEPK	PP_5312			Helicase
Q88CE7	Q88CE7_PSEPK	PP_5234	glnK	Activator of NRII(GlnL/NtrB) phosphatase	
Q88CM1	Q88CM1_PSEPK	PP_5159			Fe2OG dioxygenase domain-containing protein
Q88CZ8	Q88CZ8_PSEPK	PP_5031	proY	Proline (Histidine) APC transporter	
Q88D80	Q88D80_PSEPK	PP_4947	putA		Bifunctional protein PutA
Q88DC4	RSGA_PSEPK	PP_4903	rsgA		Small ribosomal subunit biogenesis GTPase RsgA
Q88DI0	Q88DI0_PSEPK	PP_4845	urtE	Urea ABC transporter, ATP-binding protein	
Q88DJ0	Q88DJ0_PSEPK	PP_4835			DUF2946 domain-containing protein
Q88DK0	Q88DK0_PSEPK	PP_4825			UPF0056 inner membrane protein
Q88DP4	Q88DP4_PSEPK	PP_4780		Acyl-CoA dehydrogenase	
Q88DR4	Q88DR4_PSEPK	PP_4759		Transcriptional regulator, GntR family	
Q88DU0	Q88DU0_PSEPK	PP_4729	recN		DNA repair protein RecN
Q88DY2	Q88DY2_PSEPK	PP_4686		Lipoprotein	
Q88EA4	Q88EA4_PSEPK	PP_4562		Uncharacterized protein	
Q88EB8	Q88EB8_PSEPK	PP_4548		Oxidoreductase	
Q88EH9	Q88EH9_PSEPK	PP_4484	hisM	Histidine / lysine / arginine / ornithine ABC transporter-permease subunit	
Q88EL6	Q88EL6_PSEPK	PP_4446		Group II intron-encoding maturase	
Q88EQ2	Q88EQ2_PSEPK	PP_4401	bkdAA		2-oxoisovalerate dehydrogenase subunit alpha
Q88ER0	Q88ER0_PSEPK	PP_4393		Chemotaxis protein	
Q88ES1	Q88ES1_PSEPK	PP_4382	flgJ		Peptidoglycan hydrolase FlgJ
Q88EU8	Q88EU8_PSEPK	PP_4355	fliP		Flagellar biosynthetic protein FliP
Q88F16	Q88F16_PSEPK	PP_4283		Transcriptional regulator, GntR family	
Q88F84	Q88F84_PSEPK	PP_4214	pvdN	Pyoverdine biosynthesis related protein	
Q88FF2	Q88FF2_PSEPK	PP_4145	mltD	Membrane-bound lytic murein transglycosylase D	
Q88FI9	Q88FI9_PSEPK	PP_4106	gabP-IV	Gamma-aminobutyrate permease	
Q88FW8	Q88FW8_PSEPK	PP_3959		Voltage-gated chloride channel family protein	
Q88G14	Q88G14_PSEPK	PP_3912			DNA (cytosine-5-)-methyltransferase
Q88G35	Q88G35_PSEPK	PP_3891	ybcO		DUF1364 domain-containing protein
Q88G70	Q88G70_PSEPK	PP_3855		Uncharacterized protein	
Q88G79	Q88G79_PSEPK	PP_3846	ramA	(R)-stereoselective amidase	
Q88GI0	Q88GI0_PSEPK	PP_3743			DUF2388 domain-containing protein
Q88GK5	Q88GK5_PSEPK	PP_3716	catR	HTH-type transcriptional regulator	
Q88H00	Q88H00_PSEPK	PP_3565		Transporter, LysE family	
Q88H12	Q88H12_PSEPK	PP_3553		AMP-binding domain protein	
Q88H30	Q88H30_PSEPK	PP_3535			Glutathione hydrolase proenzyme
Q88H65	Q88H65_PSEPK	PP_3496		Endoribonuclease L-PSP	
Q88H94	Q88H94_PSEPK	PP_3466		ABC efflux transporter, permease/ATP-binding protein	
Q88HD3	Q88HD3_PSEPK	PP_3427	oprN	Multidrug efflux RND outer membrane protein OprN	
Q88HH7	PTXS_PSEPK	PP_3380	ptxS		HTH-type transcriptional regulator PtxS
Q88HL4	Q88HL4_PSEPK	PP_3342	nikA	Nickel ABC transporter periplasmic binding protein	
Q88I71	Q88I71_PSEPK	PP_3130			mannan endo-1,4-beta-mannosidase
Q88IM0	Q88IM0_PSEPK	PP_2979			DUF1232 domain-containing protein
Q88IU1	Q88IU1_PSEPK	PP_2908	csiR	DNA-binding transcriptional repressor	
Q88JI5	Q88JI5_PSEPK	PP_2664			histidine kinase
Q88JW3	Q88JW3_PSEPK	PP_2534		Transcriptional regulator, LysR family	
Q88K42	Q88K42_PSEPK	PP_2450			GTP pyrophosphokinase
Q88KD3	Q88KD3_PSEPK	PP_2357		Type 1 pili protein CsuB	
Q88KQ4	Q88KQ4_PSEPK	PP_2236		Hydrolase of the alpha/beta superfamily	
Q88KU7	Q88KU7_PSEPK	PP_2192		RNA polymerase sigma-70 factor, ECF subfamily/transmembrane sensor protein	
Q88L09	Q88L09_PSEPK	PP_2128		CheV-like chemotaxis protein	
Q88L54	PSRP_PSEPK	PP_2081			Putative phosphoenolpyruvate synthase regulatory protein
Q88LK0	Q88LK0_PSEPK	PP_1931			IS1182 family transposase
Q88LN8	Q88LN8_PSEPK	PP_1891	fimI	Type 1 pili subunit FimI	
Q88LQ8	HTPX_PSEPK	PP_1871	htpX		Protease HtpX
Q88LU6	Q88LU6_PSEPK	PP_1831		Membrane protein	
Q88M29	Q88M29_PSEPK	PP_1746	csrA		Translational regulator CsrA
Q88M34	Q88M34_PSEPK	PP_1741	betX	Choline / betaine / carnitine ABC transporter-substrate binding protein BetX	
Q88M68	Q88M68_PSEPK	PP_1706	nirD	Nitrite reductase	
Q88MR8	Q88MR8_PSEPK	PP_1501			Lipoprotein
Q88MV6	RS16_PSEPK	PP_1462	rpsP		Small ribosomal subunit protein bS16
Q88N07	Q88N07_PSEPK	PP_1411		GGDEF domain protein	
Q88N30	TTGA_PSEPK	PP_1386	ttgA		Probable efflux pump periplasmic linker TtgA
Q88N37	Q88N37_PSEPK	PP_1379	pcaB	3-carboxy-cis,cis-muconate cycloisomerase	
Q88NG1	Q88NG1_PSEPK	PP_1248		Transporter, LysE family	
Q88NL4	Q88NL4_PSEPK	PP_1193		Uncharacterized protein	
Q88NS6	Q88NS6_PSEPK	PP_1128		OmpA family protein	
Q88NU2	Q88NU2_PSEPK	PP_1112			MFS transporter
Q88P39	Q88P39_PSEPK	PP_1014	yihS	Aldose-ketose isomerase	
Q88P87	HIS1_PSEPK	PP_0965	hisG		ATP phosphoribosyltransferase
Q88P98	Q88P98_PSEPK	PP_0954	lptA		Lipopolysaccharide export system protein LptA
Q88PC7	Q88PC7_PSEPK	PP_0923		Acyltransferase	
Q88PG1	Q88PG1_PSEPK	PP_0889			Beta-lactamase-related domain-containing protein
Q88PG3	Q88PG3_PSEPK	PP_0887			histidine kinase
Q88PJ9	Q88PJ9_PSEPK	PP_0851	pilF	Type IV pili biogenesis protein PilF	
Q88PN7	Q88PN7_PSEPK	PP_0812	cyoA		Ubiquinol oxidase subunit 2
Q88PV2	UPP_PSEPK	PP_0746	upp		Uracil phosphoribosyltransferase
Q88PX4	LOLB_PSEPK	PP_0724	lolB		Outer-membrane lipoprotein LolB
Q88PZ2	Q88PZ2_PSEPK	PP_0706	ada	Fused O(6)-alkylguanine DNA alkyltransferase-transcriptional activator	
Q88QC0	Q88QC0_PSEPK	PP_0574		DNA-binding response regulator, LuxR family	
Q88QD7	Q88QD7_PSEPK	PP_0557	acoR	Acetoin catabolism regulatory protein	
Q88QE2	Q88QE2_PSEPK	PP_0552	bdhA	2,3-butanediol dehydrogenase	
Q88QF7	Q88QF7_PSEPK	PP_0537		Transcriptional regulator	
Q88QI4	Q88QI4_PSEPK	PP_0508			Zinc-binding protein
Q88QN7	EFTU2_PSEPK	PP_0452	tufB		Elongation factor Tu-B
Q88QP6	Q88QP6_PSEPK	PP_0442	nusG		Transcription termination/antitermination protein NusG
Q88QT1	Q88QT1_PSEPK	PP_0407	djlA	DnaJ-like protein DjlA	
Q88QW3	Q88QW3_PSEPK	PP_0371		Transcriptional regulator, LysR family	
Q88R13	Q88R13_PSEPK	PP_0321	ltaE		L-threonine aldolase
Q88R44	HIS5_PSEPK	PP_0290	hisH		Imidazole glycerol phosphate synthase subunit HisH
Q88R57	Q88R57_PSEPK	PP_0277			Lipoprotein
Q88R78	Q88R78_PSEPK	PP_0256		Oxidoreductase	
Q88RD4	Q88RD4_PSEPK	PP_0198		Transporter	
Q88RM3	Q88RM3_PSEPK	PP_0106			cytochrome-c oxidase
Q88RP4	Q88RP4_PSEPK	PP_0085			DUF883 domain-containing protein
A0A140FVX0	A0A140FVX0_PSEPK	PP_5426		Uncharacterized protein	
A0A140FVX1	A0A140FVX1_PSEPK	PP_5427			Twin transmembrane helix small protein
A0A140FVY4	A0A140FVY4_PSEPK	PP_5440			Phage protein
A0A140FW22	A0A140FW22_PSEPK	PP_1495	prfB		Peptide chain release factor 2
A0A140FW55	A0A140FW55_PSEPK	PP_5500		Uncharacterized protein	
A0A140FW78	A0A140FW78_PSEPK	PP_5524			Lipoprotein
A0A140FW98	A0A140FW98_PSEPK	PP_5545			CopG family transcriptional regulator
A0A140FWB2	A0A140FWB2_PSEPK	PP_5559			Lipoprotein
A0A140FWB6	A0A140FWB6_PSEPK	PP_5563			Transmembrane protein
A0A140FWK5	A0A140FWK5_PSEPK	PP_5654		Phosphotriesterase	
A0A140FWP2	A0A140FWP2_PSEPK	PP_5690		Uncharacterized protein	
A0A140FWR7	A0A140FWR7_PSEPK	PP_4778	rluE		Pseudouridine synthase
Q9EUU0	LEXA1_PSEPK	PP_2143	lexA1		LexA repressor 1
Q88BY0	Q88BY0_PSEPK	PP_5407		Transposition protein, TnsD-related protein	
Q88C27	Q88C27_PSEPK	PP_5356	vdlD	Protein VdlD	
Q88C61	Q88C61_PSEPK	PP_5322		Metal ion transporter	
Q88C62	Q88C62_PSEPK	PP_5321	phoR		Phosphate regulon sensor protein PhoR
Q88CB3	Q88CB3_PSEPK	PP_5268	puuR	DNA-binding transcriptional repressor PuuR-putrescine	
Q88CD3	Q88CD3_PSEPK	PP_5248	ycaC-III	Hydrolase	
Q88CD9	Q88CD9_PSEPK	PP_5242			histidine kinase
Q88CM0	Q88CM0_PSEPK	PP_5160			DUF2059 domain-containing protein
Q88CM8	Q88CM8_PSEPK	PP_5152			Uncharacterized protein YjiK
Q88D08	Q88D08_PSEPK	PP_5021		Methyl-accepting chemotaxis transducer	
Q88DD6	Q88DD6_PSEPK	PP_4891	hflC		Protein HflC
Q88DF0	Q88DF0_PSEPK	PP_4875			DUF2232 domain-containing protein
Q88DG3	Q88DG3_PSEPK	PP_4862	ydfG	3-hydroxy acid dehydrogenase, NADP-dependent / malonic semialdehyde reductase	
Q88DL4	PROA_PSEPK	PP_4811	proA		Gamma-glutamyl phosphate reductase
Q88DQ4	Q88DQ4_PSEPK	PP_4769			NYN domain-containing protein
Q88DU3	DNAJ_PSEPK	PP_4726	dnaJ		Chaperone protein DnaJ
Q88DZ5	Q88DZ5_PSEPK	PP_4673	recB		RecBCD enzyme subunit RecB
Q88E33	FABV_PSEPK	PP_4635	fabV		Enoyl-[acyl-carrier-protein] reductase [NADH]
Q88EM8	Q88EM8_PSEPK	PP_4426		Amino acid ABC transporter, permease protein	
Q88ET3	FLIE_PSEPK	PP_4370	fliE		Flagellar hook-basal body complex protein FliE
Q88F22	Q88F22_PSEPK	PP_4277		Transcriptional regulator, GntR family	
Q88F35	Q88F35_PSEPK	PP_4264	hemN		Coproporphyrinogen-III oxidase
Q88F53	Q88F53_PSEPK	PP_4246		Periplasmic binding protein	
Q88F73	Q88F73_PSEPK	PP_4225	qseB	Two component system DNA-binding transcriptional activator QseB	
Q88FP5	Q88FP5_PSEPK	PP_4044		Uncharacterized protein	
Q88GN2	Q88GN2_PSEPK	PP_3689		Serine/threonine protein phosphatase	
Q88GS2	Q88GS2_PSEPK	PP_3646		Aldehyde dehydrogenase family protein	
Q88GU8	Q88GU8_PSEPK	PP_3619			DUF6708 domain-containing protein
Q88GV3	Q88GV3_PSEPK	PP_3614			DUF2231 domain-containing protein
Q88GV9	Q88GV9_PSEPK	PP_3608		Transcriptional regulator, LysR family	
Q88H09	Q88H09_PSEPK	PP_3556			Sodium:proton antiporter
Q88H15	Q88H15_PSEPK	PP_3550		Transcriptional regulator EmrR	
Q88HE6	Q88HE6_PSEPK	PP_3414		Methyl-accepting chemotaxis transducer/sensory box protein	
Q88HR7	Q88HR7_PSEPK	PP_3286	paaX	DNA-binding transcriptional repressor PaaX(Phenylacetyl-CoA)	
Q88ID8	Q88ID8_PSEPK	PP_3061			Phage tail assembly protein
Q88IM6	Q88IM6_PSEPK	PP_2973	dgkA-II		Diacylglycerol kinase
Q88IX3	Q88IX3_PSEPK	PP_2876	ampC		Beta-lactamase
Q88IY2	Q88IY2_PSEPK	PP_2867		Pyridine nucleotide-disulphide oxidoreductase family protein	
Q88IY7	UPPP_PSEPK	PP_2862	uppP		Undecaprenyl-diphosphatase
Q88J65	Q88J65_PSEPK	PP_2784		Oxidoreductase, short-chain dehydrogenase/reductase family	
Q88J91	Q88J91_PSEPK	PP_2758		Ribose ABC transporter, periplasmic ribose-binding protein	
Q88JA0	Q88JA0_PSEPK	PP_2749		Branched-chain amino acid ABC transporter, permease protein	
Q88JA6	Q88JA6_PSEPK	PP_2743		Acetyltransferase, GNAT family	
Q88JB1	Q88JB1_PSEPK	PP_2738		Transcriptional regulator	
Q88JR7	Q88JR7_PSEPK	PP_2582		Heme oxygenase	
Q88JZ6	Q88JZ6_PSEPK	PP_2497			Glycine zipper domain-containing protein
Q88K91	Q88K91_PSEPK	PP_2400			DoxX family protein
Q88KF3	Q88KF3_PSEPK	PP_2337	prpF	Aconitate isomerase	
Q88KT2	Q88KT2_PSEPK	PP_2207			AI-2E family transporter
Q88KY7	Q88KY7_PSEPK	PP_2152	ugpQ	Glycerophosphoryl diester phosphodiesterase	
Q88L24	Q88L24_PSEPK	PP_2112	acnA-I		Aconitate hydratase
Q88L83	Q88L83_PSEPK	PP_2052		Bifunctional enzyme: sugar-phosphatase/mannitol-1-phosphate 5-dehydrogenase	
Q88LL4	Q88LL4_PSEPK	PP_1916	fabF		3-oxoacyl-[acyl-carrier-protein] synthase 2
Q88LQ0	Q88LQ0_PSEPK	PP_1879			Ig-like domain-containing protein
Q88LT6	Q88LT6_PSEPK	PP_1841		Cytochrome c family protein	
Q88LW6	Q88LW6_PSEPK	PP_1811	rffE	UDP-N-acetylglucosamine-2-epimerase	
Q88M36	Q88M36_PSEPK	PP_1739		Uncharacterized protein	
Q88M75	Q88M75_PSEPK	PP_1699		2-pyrone-4,6-dicarboxylic acid hydrolase	
Q88M82	Q88M82_PSEPK	PP_1692			Sel1 repeat family protein
Q88MG5	Q88MG5_PSEPK	PP_1606	dnaEA		DNA polymerase III subunit alpha
Q88MP2	Q88MP2_PSEPK	PP_1528			Fe-S metabolism associated domain-containing protein
Q88MV5	RIMM_PSEPK	PP_1463	rimM		Ribosome maturation factor RimM
Q88MW4	Q88MW4_PSEPK	PP_1454			Gamma carbonic anhydrase family protein
